Name,Runs,Wickets,Balls Faced,Average,Strike Rate,wSR,wRC,wRC+,Runs Against,Wickets Taken,Balls Bowled,Bowling Average,Strike Rate Against,wSR Against,cAA,cAA+,,,,,,,,,
Paul Stirling,2244,88,1503,25.5,149,15,2207,109,592,18,419,32.89,141,0.16,36.82,89,,,,,,,,,
Paul van Meekeren,27,2,14,13.5,193,5,19,102,282,9,188,31.33,150,0.22,39.56,82,,,,,,,,,
Paul Walter,948,36,682,26.33,139,8,950,104,696,25,474,27.84,147,0.16,36.54,89,,,,,,,,,
Pawan Negi,152,14,125,10.86,122,-45,108,64,338,20,284,16.9,119,-0.22,27.16,120,,,,,,,,,
PC de Silva,22,2,22,11,100,-55,17,57,30,0,12,-,250,1.48,67.11,49,,,,,,,,,
Peter David Bocock,130,9,102,14.44,127,-25,108,79,0,0,0,-,-,-,-,-,,,,,,,,,
Peter Handscomb,1219,56,1004,21.77,121,-12,1203,89,0,0,0,-,-,-,-,-,,,,,,,,,
Peter Nevill,91,7,89,13,102,-43,79,66,0,0,0,-,-,-,-,-,,,,,,,,,
Peter Siddle,48,11,62,4.36,77,-127,3,3,1894,110,1533,17.22,124,-0.18,28.21,116,,,,,,,,,
Peter Trego,642,27,512,23.78,125,-5,648,94,62,1,30,62,207,0.84,54.21,60,,,,,,,,,
Peter Younghusband,50,6,51,8.33,98,-71,31,45,506,20,423,25.3,120,-0.08,29.92,109,,,,,,,,,
PH Solanki,0,0,0,-,-,-,-,-,38,2,36,19,106,-0.27,25.2,129,,,,,,,,,
Phil Mustard,170,9,146,18.89,116,-17,167,85,0,0,0,-,-,-,-,-,,,,,,,,,
Philip Salt,2491,100,1650,24.91,151,15,2421,109,0,0,0,-,-,-,-,-,,,,,,,,,
PHKD Mendis,75,4,60,18.75,125,-14,71,88,70,0,48,-,146,0.47,42.74,76,,,,,,,,,
Pieter Malan,84,3,67,28,125,0,88,98,0,0,0,-,-,-,-,-,,,,,,,,,
Piyush Chawla,69,10,77,6.9,90,-87,34,33,1161,36,801,32.25,145,0.19,36.24,90,,,,,,,,,
PJ Moor,118,6,87,19.67,136,-5,110,95,0,0,0,-,-,-,-,-,,,,,,,,,
PJ van Biljon,125,6,100,20.83,125,-10,121,90,0,0,0,-,-,-,-,-,,,,,,,,,
PKD Chase,6,1,12,6,50,-94,4,28,208,11,134,18.91,155,0.06,35.25,92,,,,,,,,,
Pradeep Sangwan,4,4,13,1,31,-251,-16,-89,261,9,174,29,150,0.21,37.09,88,,,,,,,,,
Prashant Chopra,8,1,6,8,133,-63,4,51,0,0,0,-,-,-,-,-,,,,,,,,,
Prasidh Krishna,9,2,24,4.5,38,-108,6,18,1601,52,1145,30.79,140,0.14,37.03,88,,,,,,,,,
Praveen Dubey,7,0,13,-,54,-42,12,67,72,0,48,-,150,0.51,43.75,75,,,,,,,,,
Praveen Kumar,8,1,9,8,89,-78,5,40,140,6,99,23.33,141,0.07,35.8,91,,,,,,,,,
Prayas Ray Barman,19,1,24,19,79,-42,21,66,56,0,24,-,233,1.3,62.79,52,,,,,,,,,
Prem Sisodiya,29,2,15,14.5,193,12,22,107,877,30,690,29.23,127,0.02,32.72,100,,,,,,,,,
Prerak Mankad,4,0,1,-,400,298,4,320,0,0,0,-,-,-,-,-,,,,,,,,,
Prithvi Raj,0,0,1,-,0,-91,0,30,54,1,30,54,180,0.6,48.43,67,,,,,,,,,
Prithvi Shaw,1540,61,1050,25.25,147,13,1518,108,0,0,0,-,-,-,-,-,,,,,,,,,
Priyam Garg,247,16,216,15.44,114,-30,220,76,0,0,0,-,-,-,-,-,,,,,,,,,
Qais Ahmad,175,19,154,9.21,114,-59,111,54,1493,61,1234,24.48,121,-0.08,30.6,107,,,,,,,,,
Qasim Akram,109,4,67,27.25,163,27,106,118,51,1,36,51,142,0.25,38.31,85,,,,,,,,,
Quinton de Kock,3090,89,2266,34.72,136,14,3298,108,0,0,0,-,-,-,-,-,,,,,,,,,
R Frylinck,0,0,0,-,-,-,-,-,61,5,60,12.2,102,-0.46,20.98,155,,,,,,,,,
R Mutumbami,111,6,79,18.5,141,-5,100,94,0,0,0,-,-,-,-,-,,,,,,,,,
R Ngarava,13,1,12,13,108,-39,11,69,398,14,310,28.43,128,0.03,34.48,95,,,,,,,,,
R Sai Kishore,0,0,0,-,-,-,-,-,119,6,96,19.83,124,-0.13,28.95,113,,,,,,,,,
R Shepherd,204,6,134,34,152,25,210,117,529,19,299,27.84,177,0.38,43.13,76,,,,,,,,,
RA Bawa,11,2,14,5.5,79,-105,4,20,0,0,0,-,-,-,-,-,,,,,,,,,
