Name,Runs,Wickets,Balls Faced,Average,Strike Rate,wSR,wRC,wRC+,Runs Against,Wickets Taken,Balls Bowled,Bowling Average,Strike Rate Against,Bowling wSR,cAA,cAA+
BE Patterson,889,50,853,17.78,104,-7,852,90,0,0,0,-,-,-,-,-
Bella Armstrong,168,11,161,15.27,104,-12,154,86,195,7,177,27.86,110,0.1,31.68,85
Bella James,63,6,90,10.5,70,-44,57,57,0,0,0,-,-,-,-,-
Bernadine Bezuidenhout,112,12,112,9.33,100,-38,78,62,0,0,0,-,-,-,-,-
BF Smith,16,2,16,8,100,-47,10,54,0,0,0,-,-,-,-,-
Bismah Maroof,706,27,669,26.15,106,5,748,100,203,5,150,40.6,135,0.36,34.85,77
BL Mooney,4258,101,3380,42.16,126,30,4647,123,0,0,0,-,-,-,-,-
BM Devchand,17,2,22,8.5,77,-52,12,50,47,1,30,47,157,0.59,40.65,66
BMSM Kumari,8,0,6,-,133,53,10,144,287,8,240,35.88,120,0.23,32.46,83
Brooke Halliday,212,13,234,16.31,91,-18,209,80,185,10,168,18.5,110,-0.02,27.55,97
BS Fulmali,23,2,33,11.5,70,-40,22,60,0,0,0,-,-,-,-,-
BYA Mendis,95,9,120,10.56,79,-39,82,62,0,0,0,-,-,-,-,-
C Leeson,150,13,131,11.54,115,-20,114,78,533,18,435,29.61,123,0.2,31.63,85
C Moore,1,1,3,1,33,-258,-5,-136,0,0,0,-,-,-,-,-
C Murray,0,0,0,-,-,-,-,-,39,0,18,-,217,1.35,58.09,46
C Piparo,475,26,457,18.27,104,-6,461,91,0,0,0,-,-,-,-,-
C Raack,18,2,18,9,100,-40,12,60,250,5,216,50,116,0.25,31.69,85
C Webb,631,27,596,23.37,106,2,650,98,217,9,168,24.11,129,0.19,32.06,84
CA Henry,133,13,169,10.23,79,-41,111,59,229,9,214,25.44,107,0.06,28.33,95
Caitlin Blakely,88,8,91,11,97,-31,70,69,11,0,6,-,183,1.03,50.42,53
Caitlin Gurrey,296,13,331,22.77,89,-9,324,88,0,0,0,-,-,-,-,-
Caitlin King,18,5,25,3.6,72,-121,-3,-12,17,3,18,5.67,94,-0.76,8.74,307
Carolyn Esterhuizen,7,0,6,-,117,39,9,131,107,7,96,15.29,111,-0.07,25.05,107
CG Sippel,19,2,18,9.5,106,-41,12,59,333,15,300,22.2,111,0.05,28.59,94
Charlotte Sarsfield,8,3,24,2.67,33,-115,-2,-7,166,6,162,27.67,102,0.04,27.27,98
CJ Koski,283,18,261,15.72,108,-9,255,88,30,0,18,-,167,0.87,50.52,53
CJ Metcalfe,3,0,18,-,17,-55,9,47,130,7,105,18.57,124,0.08,28.38,95
CL Hall,686,46,664,14.91,103,-15,613,83,0,0,0,-,-,-,-,-
CL Rafferty,6,1,6,6,100,-73,2,31,98,2,84,49,117,0.25,34.09,79
CL Tryon,727,35,531,20.77,137,21,679,115,337,3,261,112.33,129,0.44,36.78,73
Claudia Green,24,6,35,4,69,-107,0,0,248,8,264,31,94,0,27.5,98
CM Edwards,88,3,92,29.33,96,0,98,96,0,0,0,-,-,-,-,-
CMA Shillington,122,9,140,13.56,87,-24,116,74,0,0,0,-,-,-,-,-
CN Nation,347,16,349,21.69,99,-4,360,92,30,1,24,30,125,0.23,32.16,83
CNIM Joyce,110,8,134,13.75,82,-28,106,71,0,0,0,-,-,-,-,-
CR Knott,28,6,38,4.67,74,-91,6,15,57,3,54,19,106,-0.03,27.54,97
D Brown,0,0,0,-,-,-,-,-,433,27,498,16.04,87,-0.19,23.21,116
D Hazell,33,7,44,4.71,75,-91,7,14,662,24,523,27.58,127,0.22,31.65,85
D Hemalatha,26,4,29,6.5,90,-65,12,37,78,5,60,15.6,130,0.04,27.54,97
D van Niekerk,1581,63,1447,25.1,109,7,1651,102,1597,78,1564,20.47,102,-0.04,25.13,107
